COD,CLIENTE+RAGIONE SOCIALE;ISO;VAT
07083169    |VEMA LIFT OY;FI;33547133
07083170    |GOCRAFT OU;EE;102685501
07083171    |EVCO GMBH;DE;334756137
07083174    |HULCO TRAILERS GmbH;DE;260048159
07083175    |MAN TRUCK & BUS SE GE H-SALZGITTER;DE;811125281
07083176    |HORSE ROMANIA S.A.             supplier;RO;18699808
07083181    |SCANIA CV AB;SE;556084097601
07083183    |AUTO VENTUS PL Sp.zo.o.;PL;5273024516
07083191    |SCANIA CV AB LHCE CP OPERATION,HASSELT;SE;556084097601
07083195    |BRENDERUP SP. Z.O.O.;PL;7632127336
07083197    |HALLCO INDUSTRIES SA;BE;0746855953
07083198    |CNH Industrial Italia S.p.A.;BE;0828229253
07083199    |PORTOFIN D.O.O.;SI;92577776
07083200    |TATRA TRUCKS a.s.;CZ;699007445
07083205    |ORANGE TRUCK SERVICE SIA;LV;43603031563
07083206    |OLIMEC LDA;PT;513818383
07083208    |INTERPUMP ANTRIEBSTECHNIK GMBH;DE;364898891
07088000    |DIMITRI POMPING SRL;BE;0751969140
07089001    |B.STRAUTMANN & SOEHNE GmbH & CO.;DE;117584332
07089002    |BOHNENKAMP SE;DE;117662020
07089003    |HANS BRANTNER & SOHN;AT;U18918303
07089005    |HES PLC. HYDRAULIC ELEMENTS & SYSTEMS;BG;838168266
07089010    |PETER KROEGER GMBH;DE;811937680
07089011    |MOL CY N.V.;BE;0426586303
07089019    |ROS ROCA S.A.;ES;A25014382
07089020    |S.C.I.M.A. S.A.;BE;0433222982
07089026    |JOSKIN;BE;0424864156
07089029    |GOEWEIL MASCHINENBAU GMBH;AT;U49973104
07089031    |PRESKOV LTD;BG;833067555
07089036    |JOSKIN BOURGES;FR;76432935336
07089037    |PEETERS GROUP;NL;007465439B01
07089041    |BERDEX CARROSSERIE EN HANDELSONDERNEMING;NL;802436031B01
07089042    |FUHRMANN FAHRZEUGE GES.M.B.H.;AT;U19020100
07089050    |BUCHER MUNICIPAL SIA;LV;51203021811
07089061    |BEKKERLAGRAM WAALWIJK B.V.;NL;809824152B01
07089064    |ADR Geplasmetal, S.A.U;ES;A50054089
07089071    |FLIEGL AGRO-CENTER GMBH;DE;814753955
07089074    |S.C. SISTEME HIDRAULICE S.R.L.;RO;16061519
07089081    |EDUARDS TRAILER FACTORY BV;BE;0474847167
07089096    |POL-STRAUTMANN SPOLKA Z.O.O.;PL;7880008781
07089097    |TTN NADGRADNJE D.O.O.;SI;62487027
07089109    |UNIDRO CONTARINI;FR;86422519835
07089116    |KEOX OY;FI;21123309
07089120    |SHF TRADING CO LTD;CY;10163871N
07089122    |COPA HYDROSYSTEM SRL A SOCIO UNICO;BG;110050725
07089124    |VDL CONTAINER SYSTEMS;NL;007146073B01
07089125    |HENSCHEL ENGINEERING AUTOMOTIVE SP.Z.O.O;PL;7811727277
07089127    |EFSTATHIOS ZYGOURIS & CO.;EL;082763313
07089129    |KOENIG TRAILER GMBH;DE;260383857
07089150    |RIVARD SAS;FR;31667280143
07089166    |MBB d.o.o. MENGES;SI;21185034
07089170    |SIGG Fahrzeugbau Gmbh;DE;811314766
07089193    |LTH METALNI LIJEV DOO;HR;90584148841
07089198    |THOMA Hydraulics B.V.;NL;851942234B01
07089209    |JOSKIN POLSKA SP. Z.O.O.;PL;7631832920
07089211    |HAWE -WESTER;DE;812641138
07089215    |JLB LEBOULCH;FR;35790415889
07089217    |KIEFER GMBH MASCHINENBAU;DE;128023940
07089222    |POWERLINE AUTOMOTIVE GMBH;AT;U66290177
07089226    |MCHUGH COMPONENTS;IE;9Y54348Q
07089237    |A. PANTIKOGLOU- B. KABOSIS S.A.;EL;081443344
07089240    |BROCK KEHRTECHNIK GMBH;DE;812573856
07089242    |RAVO B.V.;NL;005960228B01
07089249    |LOMMA Sachsen GmbH;DE;295146617
07089251    |FAUN Viatec GmbH;DE;212789272
07089257    |ARCADIATERRA;EL;999129975
07089260    |R&S Hydrauliek B.V.;NL;820982647B01
07089262    |L.V.Technik Kft;HU;11039165
07089266    |IPSAM TECHNOLOGY NV;BE;0880916089
07089280    |GROOTVALK MATERIEEL B.V.;NL;819402771B04
07089285    |LORENZ SPEZIALAUFBAUTEN GMBH;AT;U65522838
07089286    |ROJO TRAILER, S.L.;ES;B09057753
07089287    |HERCULANO ALFAIAS AGRICOLAS, SA;PT;500106924
07089290    |FAUN UMWELTTECHNIK GMBH & CO;DE;177881176
07089291    |SEMAT SA MANUTENTION TRANSPORTS;FR;82778128462
07089292    |SERES GEPIPARI ES KERESKEDELMI KFT;HU;11237253
07089293    |ZOELLER TECH SP.Z.O.O.;PL;5870201044
07089295    |AMELCO INDUSTRIES LTD;CY;10004424X
07089297    |ZOLLER-KIPPER GMBH;DE;149065095
07089299    |A. KAOUSSIS SA VIOMICHANIA;EL;094036579
07089308    |PALMSE METALL OU;EE;100968822
07089311    |TWIN TECH BVBA;BE;0840085425
07089318    |KEMPF FAHRZEUG-REPARATUR GMBH;DE;147997952
"07089324    |SIA ""EVIAR""";LV;50103838241
07089329    |TEHNIX D.O.O.;HR;78013846555
07089331    |PMT OU;EE;100380772
07089339    |LLP SERVISITA;LT;100009111317
